Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
user register positive cases,Chrome 100.0.4896.127,,,2022-05-01 13:52:04,2022-05-01 13:53:35,1m - 30.790s,PASSED
,,,,,,,
Test Cases/test cases/positive test cases/TC05-as a user i can go to login page if already have account,Chrome 100.0.4896.127,,,2022-05-01 13:52:12,2022-05-01 13:52:23,10.701s,PASSED
Start setup action : setupTestCase,Chrome 100.0.4896.127,,,2022-05-01 13:52:13,2022-05-01 13:52:13,0.014s,PASSED
if (individualRun),Chrome 100.0.4896.127,,,2022-05-01 13:52:13,2022-05-01 13:52:13,0.003s,PASSED
"callTestCase(findTestCase(""Test Cases/pages/register new user account""), [""isLogin"":isLogin], STOP_ON_FAILURE)",Chrome 100.0.4896.127,input email and name with valid value,,2022-05-01 13:52:13,2022-05-01 13:52:21,7.440s,PASSED
scenario.each({ java.lang.Object value -> ... }),Chrome 100.0.4896.127,verify user redirected to login page,,2022-05-01 13:52:21,2022-05-01 13:52:23,1.781s,PASSED
if (individualRun),Chrome 100.0.4896.127,,,2022-05-01 13:52:23,2022-05-01 13:52:23,0.001s,PASSED
Start tear down : tearDownTestCase,Chrome 100.0.4896.127,,,2022-05-01 13:52:23,2022-05-01 13:52:23,0.620s,PASSED
,,,,,,,
Test Cases/test cases/positive test cases/TC02-as a user i can register with apple id,Chrome 100.0.4896.127,,,2022-05-01 13:52:23,2022-05-01 13:52:29,5.628s,PASSED
Start setup action : setupTestCase,Chrome 100.0.4896.127,,,2022-05-01 13:52:23,2022-05-01 13:52:23,0.027s,PASSED
if (individualRun),Chrome 100.0.4896.127,,,2022-05-01 13:52:24,2022-05-01 13:52:24,0.005s,PASSED
"callTestCase(findTestCase(""Test Cases/pages/register new user account""), [""accountType"":accountType], STOP_ON_FAILURE)",Chrome 100.0.4896.127,click button register with apple id,,2022-05-01 13:52:24,2022-05-01 13:52:28,4.454s,PASSED
"callTestCase(findTestCase(""Test Cases/pages/assertion register page""), [""scenario"":scenario, ""expectedURL"":expectedURL], STOP_ON_FAILURE)",Chrome 100.0.4896.127,verify user redirected to apple id login page,,2022-05-01 13:52:28,2022-05-01 13:52:28,0.201s,PASSED
if (individualRun),Chrome 100.0.4896.127,,,2022-05-01 13:52:28,2022-05-01 13:52:28,0.000s,PASSED
